Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
6,1216103,3,4,26,11601,20,0,8.666667,10.263203,10135,0,2900.25,4871.8257,9560.867788,5.756091384,202683.83,494430.7,1211934,43,3930,1965.0,1637.6593,3123,807,1215830,405276.66,698587.94,1211934,196,0,0,0,0,72,92,2.4668963,3.289195,0,10135,1453.375,3544.652,12600000.0,0,0,0,1,0,0,0,0,1,1661.0,8.666667,2900.25,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,23226,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,1033.324722,172.220787,7742.0,12550.9375,22223,0,23226,7742.0,12550.9375,22223,0,0,0.0,0.0,0,0,0,0,0,0,80,0,172.22078,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,695271,3,4,26,11601,20,0,8.666667,10.263203,8760,0,2900.25,4128.3193,16722.97565,10.06801664,115878.5,270284.62,667142,69,27880,13940.0,19376.14,27641,239,695149,231716.33,377342.97,667142,180,0,0,0,0,72,92,4.314864,5.7531524,0,8760,1453.375,3113.9526,9696701.0,0,0,0,1,0,0,0,0,1,1661.0,8.666667,2900.25,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,78447093,8,6,56,11607,20,0,7.0,5.656854,4380,0,1934.5,2177.345,148.6734505,0.178464229,6034392.0,18600000.0,67100000,2,77400000,11100000.0,25000000.0,67100000,4,1076936,215387.2,481095.06,1075996,2,0,0,0,0,172,132,0.10197956,0.07648467,0,4380,777.93335,1627.4618,2648631.8,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,3002.0,0.0,3002,3002,38700000.0,40200000.0,67100000,10200000,1
6,80215756,8,5,56,11607,20,0,7.0,5.656854,10135,0,2321.4,4413.202,145.3953759,0.162062924,6684646.5,21000000.0,73200000,4,80100000,11400000.0,27300000.0,73200000,4,98227,24556.75,48355.848,97088,4,0,0,0,0,172,112,0.09973103,0.062331893,0,10135,833.5,2705.0442,7317264.5,0,0,0,0,1,0,0,0,0,897.61536,7.0,2321.4,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,7997.0,0.0,7997,7997,40100000.0,46900000.0,73200000,6924815,1
17,30544,4,2,136,158,34,34,34.0,0.0,79,79,79.0,0.0,9625.458355,196.4379256,6108.8,13539.785,30329,3,30336,10112.0,17508.436,30329,3,3,3.0,0.0,3,3,0,0,0,0,80,40,130.95862,65.47931,34,79,46.857143,21.957752,482.14285,0,0,0,0,0,0,0,0,0,54.666668,34.0,79.0,0,0,0,0,0,0,4,136,2,158,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
6,5374142,3,1,12,0,6,0,4.0,3.4641016,0,0,0.0,0.0,2.232914575,0.744304858,1791380.6,3070738.8,5337100,38,5374142,2687071.0,3747707.0,5337100,37042,0,0.0,0.0,0,0,0,0,0,0,72,32,0.5582287,0.18607621,0,6,2.4,3.2863352,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,0
6,201,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9950.248756,201.0,0.0,201,201,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,4975.1245,4975.1245,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,359,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
6,3425021,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,8.759070382,1.459845064,856255.25,1708512.5,3419022,1,3425021,856255.25,1708512.5,3419022,1,0,0.0,0.0,0,0,0,0,0,0,100,0,1.4598451,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,103384,3,6,26,11607,20,0,8.666667,10.263203,5840,0,1934.5,2538.9192,112522.2472,87.05408961,12923.0,36053.625,102149,3,844,422.0,507.70267,781,63,103368,20673.6,45547.61,102149,3,0,0,0,0,72,132,29.01803,58.03606,0,5840,1163.3,2138.329,4572451.5,0,0,0,1,0,0,0,0,2,1292.5555,8.666667,1934.5,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,1007642,3,7,26,11601,20,0,8.666667,10.263203,4380,0,1657.2858,1561.9694,11538.82033,9.924159573,111960.22,334191.5,1003131,4,3991,1995.5,2816.4062,3987,4,1007603,167933.83,409164.38,1003131,13,0,0,0,0,72,152,2.977248,6.946912,0,4380,1057.0,1468.8552,2157535.8,0,0,0,1,0,0,0,0,2,1162.7,8.666667,1657.2858,0,0,0,0,0,0,3,26,7,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,580778,3,4,26,11607,20,0,8.666667,10.263203,11595,0,2901.75,5795.5005,20030.02869,12.05279814,96796.336,236722.02,580003,4,748,374.0,130.10765,466,282,580735,193578.33,334653.78,580003,4,0,0,0,0,72,92,5.165485,6.8873134,0,11595,1454.125,4097.5376,16800000.0,0,0,0,1,0,0,0,0,1,1661.8572,8.666667,2901.75,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,81871348,7,9,11613,62,5840,0,1659.0,2429.6216,20,0,6.888889,5.3019915,142.6017805,0.195428564,5458090.0,19600000.0,76200000,1,81900000,13600000.0,33300000.0,81600000,3,81600000,10200000.0,26700000.0,76200000,1,0,0,0,0,152,192,0.085499994,0.10992857,0,5840,687.1177,1707.6812,2916175.0,0,0,0,0,1,1,0,0,1,730.0625,1659.0,6.888889,0,0,0,0,0,0,7,11613,9,62,229,256,5,20,26421.0,0.0,26421,26421,40800000.0,50000000.0,76200000,5420638,0
6,3058981,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.845749941,1.30762499,1019660.3,1762631.0,3054971,995,3058981,1019660.3,1762631.0,3054971,995,0,0.0,0.0,0,0,0,0,0,0,80,0,1.3076249,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,11092833,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.16355912,0.360593187,3697611.0,6403560.0,11100000,6,11100000,3697611.0,6403560.0,11100000,6,0,0.0,0.0,0,0,0,0,0,0,80,0,0.3605932,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1028.0,0.0,1028,1028,11100000.0,0.0,11100000,11100000,1
17,83516,2,2,76,274,38,38,38.0,0.0,137,137,137.0,0.0,4190.813736,47.89501413,27838.666,48214.52,83512,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,64,64,23.947508,23.947508,38,137,77.6,54.224533,2940.3,0,0,0,0,0,0,0,0,1,97.0,38.0,137.0,0,0,0,0,0,0,2,76,2,274,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
6,115381918,20,16,1057,1028,517,0,52.85,144.73943,860,0,64.25,216.2984,18.07042244,0.312007294,3296626.2,4677135.5,10000000,2,115000000,6072732.5,4893809.0,10100000,2,111000000,7374521.0,4588944.5,10100000,466,0,0,0,0,648,520,0.17333739,0.13866991,0,860,56.351353,175.1376,30673.178,0,0,0,1,0,0,0,0,0,57.916668,52.85,64.25,0,0,0,0,0,0,20,1057,16,1028,29200,349,4,32,48154.91,39105.387,166061,36241,10000000.0,16327.806,10000000,9960034,0
6,859235,3,5,26,11607,20,0,8.666667,10.263203,5840,0,2321.4,3173.3738,13538.78741,9.310607692,122747.86,324360.38,858328,3,673,336.5,375.4737,602,71,859096,214774.0,429036.06,858328,3,0,0,0,0,72,112,3.491478,5.81913,0,5840,1292.5555,2554.1592,6523729.5,0,0,0,1,0,0,0,0,1,1454.125,8.666667,2321.4,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,67093,3,4,26,11601,20,0,8.666667,10.263203,8675,0,2900.25,4088.042,173296.7672,104.3327918,11182.167,19485.137,48008,32,18862,9431.0,13015.008,18634,228,66999,22333.0,24103.484,48008,191,0,0,0,0,72,92,44.714054,59.618736,0,8675,1453.375,3091.0957,9554872.0,0,0,0,1,0,0,0,0,1,1661.0,8.666667,2900.25,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
17,23660,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,7269.653423,169.0617075,7886.6665,13654.911,23654,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,84.53085,84.53085,35,51,41.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,51.75,35.0,51.0,0,0,0,0,0,0,2,70,2,102,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
6,8097798,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.963768669,0.493961445,2699266.0,4674815.5,8097278,4,8097798,2699266.0,4674815.5,8097278,4,0,0.0,0.0,0,0,0,0,0,0,80,0,0.49396145,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,520.0,0.0,520,520,8097278.0,0.0,8097278,8097278,1
6,1666117,4,2,11601,20,7215,0,2900.25,3540.003,20,0,10.0,14.142136,6974.900322,3.601187672,333223.4,733316.25,1644919,2,1666117,555372.3,943632.9,1644919,159,21014,21014.0,0.0,21014,21014,0,0,0,0,92,52,2.400792,1.200396,0,7215,1660.1428,2942.4634,8658090.0,0,0,0,1,1,0,0,0,0,1936.8334,2900.25,10.0,0,0,0,0,0,0,4,11601,2,20,29200,256,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
6,1265288,3,4,26,11607,20,0,8.666667,10.263203,11595,0,2901.75,5795.5005,9193.954262,5.532337302,210881.33,516156.34,1264481,5,723,361.5,299.10617,573,150,1265217,421739.0,729836.06,1264481,5,0,0,0,0,72,92,2.3710017,3.1613357,0,11595,1454.125,4097.5376,16800000.0,0,0,0,1,0,0,0,0,1,1661.8572,8.666667,2901.75,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,535888,3,5,26,11601,20,0,8.666667,10.263203,7300,0,2320.2,3022.508,21696.69782,14.92849252,76555.43,189485.64,505591,128,29148,14574.0,20429.729,29020,128,535694,133923.5,248144.45,505591,192,0,0,0,0,72,112,5.5981846,9.330308,0,7300,1291.8889,2460.653,6054813.0,0,0,0,1,0,0,0,0,1,1453.375,8.666667,2320.2,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,78366566,6,10,11607,68,5840,0,1934.5,2375.5234,20,0,6.8,5.0066624,148.9793492,0.204168701,5224437.5,18800000.0,73100000,1,78400000,15700000.0,35000000.0,78300000,195,78300000,8700662.0,24200000.0,73100000,1,0,0,0,0,132,212,0.07656326,0.12760544,0,5840,687.1177,1632.5555,2665237.5,0,0,0,0,1,1,0,0,1,730.0625,1934.5,6.8,0,0,0,0,0,0,6,11607,10,68,229,256,4,20,26171.0,0.0,26171,26171,39100000.0,48000000.0,73100000,5195862,0
6,118448,19,26,1169,45025,570,0,61.526318,170.59157,4344,0,1731.7307,1222.5598,389993.9214,379.9135486,2692.0,7215.1772,23105,4,118448,6580.4443,10390.455,23648,48,95364,3814.56,8454.415,23849,16,0,0,0,0,616,840,160.40794,219.5056,0,4344,1004.2174,1243.1539,1545431.6,0,0,0,1,0,0,0,0,1,1026.5333,61.526318,1731.7307,0,0,0,0,0,0,19,1169,26,45025,29200,61,4,32,0.0,0.0,0,0,0.0,0.0,0,0,0
6,95542776,6,10,11613,68,7215,0,1935.5,3122.94,20,0,6.8,5.0066624,122.2593742,0.167464257,6369518.5,23700000.0,92100000,1,95500000,19100000.0,42000000.0,94300000,4,94200000,10500000.0,30600000.0,92100000,1,0,0,0,0,132,212,0.062799096,0.10466516,0,7215,687.4706,1987.5706,3950436.8,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,2132390.0,0.0,2132390,2132390,92100000.0,0.0,92100000,92100000,0
6,36522,3,6,26,11601,20,0,8.666667,10.263203,4380,0,1933.5,1757.7899,318356.0594,246.4268112,4565.25,11469.682,32846,4,32997,16498.5,23326.746,32993,4,36375,7275.0,14391.632,32930,14,0,0,0,0,72,132,82.14227,164.28455,0,4380,1162.7,1645.2418,2706820.5,0,0,0,1,0,0,0,0,2,1291.8889,8.666667,1933.5,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,98584504,8,6,56,11607,20,0,7.0,5.656854,4380,0,1934.5,2177.345,118.3045968,0.142010148,7583423.5,24400000.0,88300000,8,98400000,14100000.0,32900000.0,88300000,184,179072,35814.4,79375.64,177804,8,0,0,0,0,172,132,0.081148654,0.06086149,0,4380,777.93335,1627.4618,2648631.8,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,834.0,0.0,834,834,49200000.0,55200000.0,88300000,10200000,1
6,30392,3,4,26,11607,20,0,8.666667,10.263203,11595,0,2901.75,5795.5005,382765.2014,230.3237694,5065.3335,11904.995,29361,5,889,444.5,490.025,791,98,30297,10099.0,16687.805,29361,5,0,0,0,0,72,92,98.71019,131.61359,0,11595,1454.125,4097.5376,16800000.0,0,0,0,1,0,0,0,0,1,1661.8572,8.666667,2901.75,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,2068499,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,14.50327025,2.417211708,517124.75,1032555.75,2065958,257,2068499,517124.75,1032555.75,2065958,257,0,0.0,0.0,0,0,0,0,0,0,100,0,2.4172118,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,1
6,8049810,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.981436829,0.496906138,2683270.0,4644951.0,8046797,3,8049810,2683270.0,4644951.0,8046797,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.49690613,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,3013.0,0.0,3013,3013,8046797.0,0.0,8046797,8046797,1
6,95527924,5,9,11613,62,11595,0,2322.6,5183.4297,20,0,6.888889,5.3019915,122.2155733,0.146554007,7348302.0,22700000.0,82100000,3,95500000,23900000.0,46600000.0,93700000,185,93700000,11700000.0,28700000.0,82100000,3,0,0,0,0,112,192,0.052340716,0.09421329,0,11595,778.73334,2992.2332,8953460.0,0,0,0,0,1,1,0,0,1,834.3571,2322.6,6.888889,0,0,0,0,0,0,5,11613,9,62,229,256,3,20,36228.0,0.0,36228,36228,46800000.0,49800000.0,82100000,11600000,0
6,23821240,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,1.259380284,0.209896714,5955310.0,11900000.0,23800000,4,23800000,5955310.0,11900000.0,23800000,4,0,0.0,0.0,0,0,0,0,0,0,100,0,0.20989671,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3918.0,0.0,3918,3918,23800000.0,0.0,23800000,23800000,1
6,16516832,11,11,1526,6978,635,0,138.72728,230.46913,2282,0,634.36365,769.87897,514.8687109,1.331974558,786515.8,2342430.5,9996395,3,11700000,1168353.8,3103981.0,9996395,32307,16400000,1642026.2,3354902.5,10300000,3,0,0,0,0,244,244,0.66598725,0.66598725,0,2282,369.73914,601.2231,361469.2,0,0,0,1,0,0,0,0,1,386.54544,138.72728,634.36365,0,0,0,0,0,0,11,1526,11,6978,8192,65,9,20,1687142.0,0.0,1687142,1687142,9996395.0,0.0,9996395,9996395,0
6,838306,3,6,26,11607,20,0,8.666667,10.263203,5755,0,1934.5,2529.1245,13876.79439,10.73593652,104788.25,295973.44,837285,3,870,435.0,339.41125,675,195,838257,167651.4,374336.75,837285,3,0,0,0,0,72,132,3.5786455,7.157291,0,5755,1163.3,2131.8708,4544874.0,0,0,0,1,0,0,0,0,2,1292.5555,8.666667,1934.5,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,1
17,164,2,2,88,120,44,44,44.0,0.0,60,60,60.0,0.0,1268292.683,24390.2439,54.666668,55.3022,113,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,12195.122,12195.122,44,60,50.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,63.0,44.0,60.0,0,0,0,0,0,0,2,88,2,120,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
6,7955944,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.770765606,0.628460934,1988986.0,3971964.2,7946929,1,7955944,1988986.0,3971964.2,7946929,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.62846094,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,9015.0,0.0,9015,9015,7946929.0,0.0,7946929,7946929,1
17,258,2,2,64,258,32,32,32.0,0.0,129,129,129.0,0.0,1248062.016,15503.87597,86.0,108.346664,208,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,64,64,7751.938,7751.938,32,129,70.8,53.12909,2822.7,0,0,0,0,0,0,0,0,1,88.5,32.0,129.0,0,0,0,0,0,0,2,64,2,258,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
6,115344683,16,14,1365,615,1365,0,85.3125,341.25,615,0,43.92857,164.36566,17.1659408,0.260090012,3977402.8,4887964.0,10000000,61,115000000,7689645.5,4190087.5,10000000,61,111000000,8501920.0,3767652.8,10100000,722,0,0,0,0,520,456,0.13871467,0.12137534,0,1365,63.870968,265.51746,70499.516,0,0,0,1,0,0,0,0,0,66.0,85.3125,43.92857,0,0,0,0,0,0,16,1365,14,615,29200,996,1,32,25988.182,7547.562,48640,22983,10000000.0,7974.325,10000000,9997874,0
6,76285879,8,6,56,11601,20,0,7.0,5.656854,4380,0,1933.5,1757.7899,152.8067862,0.183520203,5868144.5,20100000.0,72600000,1,76300000,10900000.0,27200000.0,72600000,1,30812,6162.4,10600.71,24576,49,0,0,0,0,172,132,0.10486869,0.07865152,0,4380,777.5333,1434.5717,2057995.9,0,0,0,0,1,0,0,0,0,833.0714,7.0,1933.5,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,3669956.0,0.0,3669956,3669956,72600000.0,0.0,72600000,72600000,1
